Sebagian	O
wajah	O
terasa	B-SYM
lumpuh	I-SYM
Dok	O
saya	O
udah	O
hampir	B-TMP
seminggu	I-TMP
mengalami	O
strok	B-DGN
ringan	I-DGN
,	O
bagian	O
wajah	O
lumpuh	B-SYM
separo	I-SYM
,	O
,	O
saya	O
belum	O
periksa	O
ke	O
dokter	O
baru	O
dengan	O
bantuan	O
terafi	O
saraf	O
,	O
,	O
.	O
.	O
.	O

Penyebab	O
dan	O
mengatasi	O
ingatan	B-SYM
yang	I-SYM
semakin	I-SYM
menghilang	I-SYM
akibat	O
stroke	B-DGN
Pagi	O
Dokter	O
,	O
Perkenalkan	O
saya	O
Risma	O
,	O
saya	O
mau	O
menayakan	O
perihal	O
adik	O
dari	O
bapak	O
saya	O
yang	O
sekarang	O
mengalami	O
amnesia	B-SYM
akibar	O
stroke	B-DGN
1	B-TMP
bulan	I-TMP
yang	I-TMP
lalu	I-TMP
,	O
.	O
.	O
.	O

Stroke	B-DGN
ringan	I-DGN
Assalamuallaikum	O
,	O
dokter	O
.	O
Saya	O
mau	O
tnya	O
,	O
ibi	O
saya	O
kemarin	O
setelah	O
mnum	O
obat	O
mandi	O
dengan	O
air	O
dingin	O
tiba2	B-TMP
kepala	O
nya	O
pusing	B-SYM
dan	O
tidak	O
bisa	O
.	O
.	O
.	O

Gangguan	B-SYM
penglihatan	I-SYM
setelah	O
mengalami	O
stroke	B-DGN
Yth	O
Dokter	O
di	O
Tempat	O
Selamat	O
pagi	O
,	O
Assallamualaikum	O
Wr	O
.	O
wbr	O
Dok	O
,	O
mohon	O
penjelasan	O
terkait	O
mata	O
isteri	O
saya	O
ysng	O
beberapa	B-TMP
minggu	I-TMP
yang	I-TMP
lalu	I-TMP
terserang	O
.	O
.	O
.	O

Penyebab	O
produksi	O
liur	B-SYM
berlebih	I-SYM
pada	O
penderita	O
stroke	B-DGN
Hello	O
Dok	O
,	O
Saya	O
punya	O
saudara	O
yang	O
kena	O
stroke	B-DGN
ringan	I-DGN
.	O
Setelah	O
terkena	O
stroke	B-DGN
dia	O
ngiler	B-SYM
setiap	B-TMP
hari	I-TMP
tdk	O
terkendali	O
smp	O
harus	O
pakai	O
gelas	O
.	O
.	O
.	O

Pendarahan	O
di	O
otak	O
Halo	O
dok	O
saya	O
pasien	O
pendarahan	B-DGN
diotak	I-DGN
karna	O
stroke	B-DGN
,	O
kejadian	B-TMP
tgl	I-TMP
16	I-TMP
april	I-TMP
setelah	O
kaki	O
kiri	O
saya	O
terasa	O
sakit	B-SYM
luar	I-SYM
biasa	I-SYM
saya	O
.	O
.	O
.	O

Jari	O
tangan	O
lemas	B-SYM
seperti	O
tidak	B-SYM
ada	I-SYM
tenaga	I-SYM
,	O
apakah	O
gejala	O
stroke	B-DGN
?	O
Assalamualaikum	O
dokter	O
,	O
salah	O
sejahtera	O
buat	O
kita	O
semua	O
dok	O
.	O
Dokter	O
,	O
ayah	O
saya	O
sudah	O
sekitar	O
2	B-TMP
minggu	I-TMP
ini	I-TMP
sampai	O
hari	B-TMP
ini	I-TMP
jari2	O
tangan	O
kirinya	O
.	O
.	O
.	O

penyebab	O
gangguan	B-SYM
keseimbangan	I-SYM
pada	O
penderita	O
stroke	B-DGN
Selamat	O
siang	O
dokter	O
,	O
,	O
,	O
saya	O
ingin	O
bertanya	O
,	O
,	O
,	O
ibu	O
saya	O
sudah	B-TMP
7	I-TMP
bulan	I-TMP
mengalami	O
stroke	B-DGN
di	O
tubuh	O
sebelah	O
kiri	O
,	O
,	O
,	O
tiap	O
bulan	O
rutin	O
untuk	O
kontrol	O
.	O
.	O
.	O

penanganan	O
pada	O
penderita	O
stroke	B-DGN
Halo	O
dok	O
.	O
Ibu	O
saya	O
plg	O
kerja	O
tiba	B-TMP
tiba	I-TMP
lemas	B-SYM
dok	O
dan	O
pulang	O
dengan	O
kaki	O
sudah	O
diseret	O
dan	O
tangan	O
lemas	B-SYM
sebelah	O
kanan	O
.	O
5	O
.	O
.	O
.	O

Mata	B-SYM
kanan	I-SYM
turun	I-SYM
Sore	O
dok	O
,	O
saya	O
mau	O
tanya	O
kenapa	O
mata	O
kanan	O
saya	O
bisa	O
turun	B-SYM
/	O
sipit	B-SYM
sebelah	I-SYM
kira2	O
terjadi	O
kira2	B-TMP
3	I-TMP
/	I-TMP
4	I-TMP
tahun	I-TMP
lalu	I-TMP
.	O
Kalau	O
gara2	O
stroke	B-DGN
.	O
.	O
.	O

Makanan	O
apa	O
yang	O
bisa	O
mencegah	O
stroke	B-DGN
datang	O
kembali	O
?	O
Dok	O
,	O
setahun	B-TMP
yang	I-TMP
lalu	I-TMP
kakak	O
saya	O
menderita	O
stroke	B-DGN
.	O
Tangan	O
kanan	O
susah	B-SYM
digerakkan	I-SYM
dan	O
susah	B-SYM
bicara	I-SYM
juga	O
dok	O
.	O
.	O
Sekarang	O
kakak	O
saya	O
udah	O
sembuh	O
.	O
.	O
.	O

Kemungkinan	O
stroke	B-DGN
saat	O
betis	O
dan	O
leher	O
yang	O
terasa	B-SYM
nyeri	I-SYM
saat	O
menggeliat	O
kala	O
tidur	O
Begini	O
dok	O
,	O
saya	O
kalau	O
tidur	O
lagi	O
menggeliat	O
betis	O
saya	O
tiba2	B-TMP
nyeri	B-SYM
sakit	B-SYM
,	O
leher	O
juga	O
begitu	O
,	O
jadi	O
saya	O
pernah	O
dengar	O
orang	O
,	O
dia	O
juga	O
.	O
.	O
.	O

Apakah	O
penyumbatan	B-DGN
di	I-DGN
batang	I-DGN
otak	I-DGN
dapat	O
disembuhkan	O
?	O
hallo	O
dok	O
semoga	O
berkenan	O
menjawab	O
ya	O
ayah	O
saya	O
pagi	B-TMP
tidak	O
bisa	O
dibangunkan	O
